2014/11/18,
freq[Hz],Loss[dB]
300000,0.223240677
40298500,0.156234834
80297000,0.22471971
120295500,0.284524058
160294000,0.323734389
200292500,0.366752273
240291000,0.396998523
280289500,0.434202106
320288000,0.466642984
360286500,0.492836081
400285000,0.518467778
440283500,0.536595447
480282000,0.567345028
520280500,0.585424769
560279000,0.600334423
600277500,0.626218459
640276000,0.658577559
680274500,0.708918043
720273000,0.735231759
760271500,0.769259614
800270000,0.768135957
840268500,0.77074807
880267000,0.79032753
920265500,0.801479692
960264000,0.824994781
1000262500,0.842681732
1040261000,0.8543174
1080259500,0.86457143
1120258000,0.913800955
1160256500,0.933206381
1200255000,0.947399056
1240253500,0.942596808
1280252000,0.939054035
1320250500,0.945943641
1360249000,0.967662817
1400247500,0.981742371
1440246000,0.989533163
1480244500,1.018822213
1520243000,1.02986533
1560241500,1.042814238
1600240000,1.05816974
1640238500,1.074583535
1680237000,1.088512077
1720235500,1.109258582
1760234000,1.116773133
1800232500,1.120185269
1840231000,1.13985321
1880229500,1.148076597
1920228000,1.161823395
1960226500,1.170596651
2000225000,1.189075469
2040223500,1.211033229
2080222000,1.229217401
2120220500,1.230057029
2160219000,1.238023592
2200217500,1.266314636
2240216000,1.276189946
2280214500,1.280163716
2320213000,1.289712048
2360211500,1.305122499
2400210000,1.327817617
2440208500,1.340209257
2480207000,1.340969517
2520205500,1.359223543
2560204000,1.381565316
2600202500,1.39482476
2640201000,1.390674852
2680199500,1.40362532
2720198000,1.428036442
2760196500,1.445891345
2800195000,1.446998075
2840193500,1.451241386
2880192000,1.473501025
2920190500,1.499013543
2960189000,1.500401702
3000187500,1.498294831
3040186000,1.517189694
3080184500,1.543804646
3120183000,1.547860962
3160181500,1.54667824
3200180000,1.563128343
3240178500,1.588110733
3280177000,1.610992489
3320175500,1.600844356
3360174000,1.600755658
3400172500,1.625821035
3440171000,1.641008602
3480169500,1.643466779
3520168000,1.642978883
3560166500,1.660387229
3600165000,1.676711391
3640163500,1.688086131
3680162000,1.691548107
3720160500,1.701127297
3760159000,1.734534233
3800157500,1.742540899
3840156000,1.72494898
3880154500,1.750530341
3920153000,1.77206963
3960151500,1.782039185
4000150000,1.768671258
4040148500,1.768152779
4080147000,1.786486737
4120145500,1.802684539
4160144000,1.798010724
4200142500,1.806552624
4240141000,1.824681298
4280139500,1.831176058
4320138000,1.832626366
4360136500,1.838889704
4400135000,1.840549344
4440133500,1.855762796
4480132000,1.872187309
4520130500,1.872978466
4560129000,1.876447293
4600127500,1.881461734
4640126000,1.905150874
4680124500,1.920305838
4720123000,1.924970516
4760121500,1.921569708
4800120000,1.94516266
4840118500,1.963837684
4880117000,1.967001491
4920115500,1.966407787
4960114000,1.975969276
5000112500,2.001612152
5040111000,2.004364556
5080109500,2.001329261
5120108000,2.007504318
5160106500,2.026244325
5200105000,2.045063313
5240103500,2.031026655
5280102000,2.037429307
5320100500,2.059316654
5360099000,2.076308674
5400097500,2.062295297
5440096000,2.058310075
5480094500,2.083752348
5520093000,2.108507901
5560091500,2.108922743
5600090000,2.101352842
5640088500,2.124718696
5680087000,2.156300715
5720085500,2.157336778
5760084000,2.145902692
5800082500,2.16776648
5840081000,2.199454484
5880079500,2.193160776
5920078000,2.183532418
5960076500,2.206307295
6000075000,2.23152631
6040073500,2.229298181
6080072000,2.215724097
6120070500,2.220813655
6160069000,2.246445438
6200067500,2.261765037
6240066000,2.247354598
6280064500,2.253094533
6320063000,2.291882489
6360061500,2.297293898
6400060000,2.279424658
6440058500,2.274373744
6480057000,2.302508575
6520055500,2.302234593
6560054000,2.291942598
6600052500,2.306077907
6640051000,2.343554751
6680049500,2.359700511
6720048000,2.353237122
6760046500,2.356927306
6800045000,2.374255082
6840043500,2.388299796
6880042000,2.385133374
6920040500,2.389986636
6960039000,2.423170414
7000037500,2.441540235
7040036000,2.422784389
7080034500,2.424899274
7120033000,2.441079853
7160031500,2.445906983
7200030000,2.434719575
7240028500,2.436893623
7280027000,2.456687056
7320025500,2.473661775
7360024000,2.468575765
7400022500,2.472559814
7440021000,2.504504249
7480019500,2.515527572
7520018000,2.509241842
7560016500,2.500998091
7600015000,2.525661497
7640013500,2.544183181
7680012000,2.542826275
7720010500,2.547485254
7760009000,2.574106431
7800007500,2.583737238
7840006000,2.580437664
7880004500,2.582924694
7920003000,2.609360701
7960001500,2.631250847
8000000000,2.629907992
