Manufacturer:,ETS-Lindgren,
Model Number:,.94111-1L.,
Serial Number / ID:,00109883,
Tracking Number:,J141083,
Date Completed:,23-Feb-O9,
Test Type:,Transfer Impedance,
Calibration Uncertainty:,+/- 1 dB,
k<=2 (95.5% Confidence Level),,
,,
Frequency (MHz),Transfer Impedance (dBOhms),Transfer Impedance (Ohms)
0.00002,-89.92,0.0000319
0.00005,-81.97,0.0000797
0.0001,-75.95,0.0001595
0.0005,-61.97,0.0007975
0.001,-55.95,0.0015949
0.002,-50.26,0.0030694
0.003,-46.82,0.0045614
0.004,-44.35,0.0060632
0.005,-42.47,0.0075276
0.006,-40.88,0.0090371
0.007,-39.57,0.0105118
0.008,-38.4,0.0120184
0.009,-37.39,0.013505
0.01,-36.48,0.0149908
0.02,-30.54,0.0297153
0.03,-27.08,0.0442744
0.04,-24.63,0.0586613
0.05,-22.75,0.0728783
0.06,-21.22,0.0869191
0.07,-19.93,0.1007681
0.08,-18.83,0.1144528
0.09,-17.86,0.1279485
0.1,-17,0.1412537
0.2,-11.57,0.2639618
0.3,-8.63,0.370148
0.4,-6.68,0.463474
0.5,-5.24,0.5467285
0.6,-4.14,0.62116
0.7,-3.23,0.6896644
0.8,-2.47,0.7525724
0.9,-1.82,0.8111327
0.95,-1.53,0.8382977
1,-1.71,0.8217621
2,1.89,1.2436544
3,3.72,1.5351632
4,4.9,1.7571077
5,5.74,1.9362289
6,6.38,2.0835522
7,6.87,2.2042229
8,7.3,2.3176042
9,7.66,2.4164031
10,7.98,2.5063087
20,10.02,3.1692367
30,11.05,3.5700869
40,11.76,3.8744097
50,12.29,4.1163427
60,12.73,4.3296653
70,13.12,4.5308685
80,13.5,4.7306564
90,13.83,4.9119735
100,14.07,5.0531338
110,14.22,5.1422095
120,14.31,5.1943676
130,14.34,5.2101864
140,14.34,5.214898
150,14.36,5.2234228
160,14.42,5.2579961
170,14.53,5.3290153
180,14.73,5.4483268
190,14.97,5.6027607
200,15.23,5.7721779
225,15.54,5.9839032
250,15.39,5.3320513
275,15.17,5.7354017
300,15.28,5.8071672
325,15.61,6.0311589
350,15.65,6.0595712
375,15.43,5.9120787
400,15.29,5.8165963
425,15.27,5.7976855
450,15.2,5.7525604
475,15.06,5.6605221
500,15.05,5.6584827
525,15.1,5.6875001
550,14.78,5.4830536
575,14.34,5.2133299
600,14.23,5.1478843
625,14.5,5.3082408
650,14.81,5.5020716
675,14.5,5.3078218
700,13.88,4.9444969
725,13.69,4.8335335
750,13.89,4.9497029
775,14.55,5.3424525
800,14.56,5.3458709
825,13.76,4.8742155
850,13.47,4.7143869
875,13.91,4.9606911
900,14.75,5.4619608
925,15.06,5.6646541
950,14.57,5.3530596
975,14.27,5.1714132
1000,14.71,5.4393484
