13-Nov-14,,
Frequency [Hz],V_Gain [dB],H_Gain [dB]
781536000,2.7154,2.7154
844607000,4.72585,4.72585
876143000,5.63969,5.63969
1065360000,6.99739,6.99739
1175730000,6.91906,6.91906
1270340000,7.20627,7.20627
1396480000,7.59791,7.59791
1554160000,8.35509,8.35509
1680300000,9.1906,9.1906
1790680000,9.47781,9.47781
1885280000,9.24282,9.24282
1948350000,8.51175,8.51175
1995660000,7.59791,7.59791
2074500000,7.04961,7.04961
2137570000,7.72846,7.72846
2200640000,8.51175,8.51175
2247940000,9.06005,9.06005
2279480000,9.34726,9.34726
2326780000,9.81723,9.81723
2437160000,10.1044,10.1044
2516000000,9.97389,9.97389
2657910000,9.68668,9.68668
2752510000,9.7389,9.7389
2847120000,10.1305,10.1305
2941730000,10.1044,10.1044
3067870000,9.92167,9.92167
3194010000,9.76501,9.76501
3320160000,9.92167,9.92167
3414760000,9.79112,9.79112
3588210000,10.0522,10.0522
3698580000,9.89556,9.89556
3887800000,9.39948,9.39948
3998170000,9.55614,9.55614
4155850000,9.71279,9.71279
4266220000,10.2089,10.2089
4392370000,10.6266,10.6266
4502740000,10.6005,10.6005
4581580000,10.4961,10.4961
4770790000,10.6266,10.6266
5007310000,10.6789,10.6789
5275370000,10.7311,10.7311
5385740000,10.5744,10.5744
5543420000,10.2611,10.2611
5638030000,10.3655,10.3655
5779940000,10.1828,10.1828
5843010000,9.92167,9.92167
5906080000,9.63447,9.63447
6032220000,9.4517,9.4517
6174130000,9.55614,9.55614
6379110000,9.86945,9.86945
6789080000,9.86945,9.86945
7025590000,10.2089,10.2089
7230580000,9.94778,9.94778
7672080000,9.94778,9.94778
7813990000,10.4178,10.4178
8066270000,10.7833,10.7833
8302790000,10.7833,10.7833
8444700000,10.8616,10.8616
8696980000,10.705,10.705
8823130000,10.8616,10.8616
8933500000,11.1749,11.1749
9106950000,11.436,11.436
9296160000,11.3838,11.3838
9422300000,11.2794,11.2794
9595750000,11.4883,11.4883
9769200000,11.671,11.671
9989950000,11.5405,11.5405
10226500000,11.7232,11.7232
10431400000,11.8538,11.8538
10652200000,11.8799,11.8799
10825600000,12.1671,12.1671
11093700000,12.5849,12.5849
11393300000,12.6893,12.6893
11645600000,13.0287,13.0287
11913600000,13.2376,13.2376
12181700000,13.5509,13.5509
12465500000,13.2898,13.2898
12654700000,12.9765,12.9765
12828200000,12.5326,12.5326
13033100000,12.2977,12.2977
13458900000,12.141,12.141
13648100000,12.5065,12.5065
13947700000,13.0809,13.0809
14231500000,13.7598,13.7598
14673000000,14.5692,14.5692
14783400000,14.8825,14.8825
14814900000,15.7702,15.7702
14893700000,15.2219,15.2219
15067200000,15.4308,15.4308
15382500000,15.953,15.953
15713700000,16.2924,16.2924
15950200000,16.1619,16.1619
16281300000,15.6397,15.6397
16659700000,15.1697,15.1697
17085500000,14.6214,14.6214
17243100000,14.0731,14.0731
17479700000,13.4987,13.4987
17716200000,13.577,13.577
17952700000,13.342,13.342
